,Month,Day,Rainfall,Perca,CumRain
0,1,1,0.3,0.0003975599361359718,0.0003975599361359718
1,1,2,0.0,0.0,0.0003975599361359718
2,1,3,0.0,0.0,0.0003975599361359718
3,1,4,0.0,0.0,0.0003975599361359718
4,1,5,21.8,0.028889355359213956,0.02928691529534993
5,1,6,0.0,0.0,0.02928691529534993
6,1,7,0.0,0.0,0.02928691529534993
7,1,8,24.38,0.03230837080998331,0.06159528610533324
8,1,9,0.4,0.0005300799148479625,0.062125366020181205
9,1,10,23.4,0.0310096750186058,0.093135041038787
10,1,11,0.0,0.0,0.093135041038787
11,1,12,0.0,0.0,0.093135041038787
12,1,13,0.0,0.0,0.093135041038787
13,1,14,0.0,0.0,0.093135041038787
14,1,15,51.4,0.06811526905796318,0.16125031009675017
15,1,16,0.0,0.0,0.16125031009675017
16,1,17,0.0,0.0,0.16125031009675017
17,1,18,2.4,0.0031804794890877746,0.16443078958583796
18,1,19,1.16,0.001537231753059091,0.16596802133889704
19,1,20,33.64,0.04457972083871364,0.21054774217761069
20,1,21,10.4,0.013782077786047025,0.22432981996365772
21,1,22,0.06,7.951198722719437e-05,0.22440933195088492
22,1,23,0.05,6.625998935599531e-05,0.22447559194024092
23,1,24,0.0,0.0,0.22447559194024092
24,1,25,1.42,0.0018817836977102667,0.2263573756379512
25,1,26,0.0,0.0,0.2263573756379512
26,1,27,6.7,0.008878838573703371,0.23523621421165455
27,1,28,0.06,7.951198722719437e-05,0.23531572619888175
28,1,29,0.0,0.0,0.23531572619888175
29,1,30,18.6,0.024648716040430257,0.25996444223931203
30,1,31,0.0,0.0,0.25996444223931203
31,2,1,0.3,0.0003975599361359718,0.260362002175448
32,2,2,0.0,0.0,0.260362002175448
33,2,3,0.0,0.0,0.260362002175448
34,2,4,15.0,0.01987799680679859,0.2802399989822466
35,2,5,4.15,0.005499579116547611,0.28573957809879424
36,2,6,33.9,0.04492427278336481,0.33066385088215905
37,2,7,3.7,0.004903239212343652,0.3355670900945027
38,2,8,9.6,0.012721917956351098,0.3482890080508538
39,2,9,3.3,0.004373159297495689,0.3526621673483495
40,2,10,1.2,0.0015902397445438873,0.35425240709289335
41,2,11,11.9,0.01576987746672688,0.3700222845596202
42,2,12,33.6,0.044526712847228846,0.4145489974068491
43,2,13,16.68,0.022104332449160033,0.43665332985600913
44,2,14,7.1,0.009408918488551332,0.4460622483445605
45,2,15,46.2,0.06122423016493967,0.5072864785095001
46,2,16,27.6,0.036575514124509406,0.5438619926340096
47,2,17,1.3,0.001722759723255878,0.5455847523572654
48,2,18,0.0,0.0,0.5455847523572654
49,2,19,50.900000000000006,0.06745266916440322,0.6130374215216686
50,2,20,74.2,0.09832982420429703,0.7113672457259657
51,2,21,5.6000000000000005,0.007421118807871475,0.7187883645338371
52,2,22,24.21,0.03208308684617293,0.75087145138001
53,2,23,2.55,0.00337925945715576,0.7542507108371658
54,2,24,29.11,0.038576565803060466,0.7928272766402262
55,2,25,1.83,0.002425115610429428,0.7952523922506557
56,2,26,7.26,0.009620950454490518,0.8048733427051462
57,2,27,31.0,0.041081193400717086,0.8459545361058634
58,2,28,64.3,0.08521034631180996,0.9311648824176733
59,2,29,40.2,0.05327303144222023,0.9844379138598935
60,3,1,85.6,0.11343710177746395,1.0978750156373576
61,3,2,75.4,0.09992006394884093,1.1977950795861985
62,3,3,67.30000000000001,0.08918594567316969,1.286981025259368
63,3,4,52.2,0.0691754288876591,1.3561564541470272
